,,v1,v2,v3
173,0.43,"אחרי
כל התהפוכות...","אחרי כל
מה שעברת...","לאחר
כל הדרך שעברת..."
174,0.71,זה הכול? זה כל הסיפור.,רק זה? זה כל מה שיש.,זהו? זה הכל.
174,0.18,זה כל הסיפור? זה הכל.,זהו? זה כל מה שיש.,זה הכל? זהו.
174,0.43,"זהו?
זהו.","זה הכל?
זה הכל.","רק זה?
זהו."
175,0.71,כתבת: כל שנותר הוא קליפה ריקה,כתב: רק ציפורן ריקה נשארה,כתב: נותר רק מעטפת ריקה
175,0.18,כתב: רק קליפה ריקה נותרה,כתב: כל מה שנשאר זו קליפה ריקה,כתב: רק גוף ריק נותר
175,0.43,"כתב: רק קליפה ריקה
נותרה","כתב: לא נותר אלא
קליפה ריקה","כתבת: כל מה שנשאר
הוא קליפה ריקה"
176,0.71,של מטוס מונטגו אייר מספר 828.,של טיסת מונטגו אייר 828.,של טיסה 828 של מונטגו אייר.
176,0.18,מטיסת מונטגו אייר מספר 828.,של טיסת מונטגו אייר 828.,של טיסה 828 של מונטגו אייר.
176,0.43,של טיסת מונטגו אייר 828.,מטוס מונטגו אייר מספר 828.,של הטיסה מונטגו אייר 828.
177,0.71,כאשר מגוון רשויות ממשל,כשמספר סוכנויות ממשלתיות,בעוד מספר רשויות ממשלתיות
177,0.18,בעוד מספר גופים ממשלתיים,כשמספר רשויות ממשלתיות,בזמן שמספר סוכנויות ממשלתיות
177,0.43,בעוד מספר רשויות ממשלתיות,כשמספר גופים ממשלתיים,בזמן שמספר סוכנויות ממשלתיות
178,0.71,חוקרות את השרידים ומחפשות רמזים...,עורכות סקר של ההריסות ומחפשות רמזים...,בודקות את החורבות ומחפשות רמזים...
178,0.18,חוקרות את השרידים ומחפשות רמזים...,עורכות סקר של ההריסות ומחפשות רמזים...,בודקות את החורבות ומחפשות רמזים...
178,0.43,"חוקרות את השרידים
ומחפשות רמזים...","עוברות על השרידים
ומחפשות רמזים...","סוקרות את החורבות
ומחפשות רמזים..."
179,0.71,יש ברשותך עטים בצבעים אחרים?,יש לך עטים בצבעים שונים?,יש לך עטים בצבעים אחרים?
179,0.18,אפשר עטים בצבעים שונים?,יש לך עטים בצבעים שונים?,יש לך עטים בצבעים אחרים?
179,0.43,"יש לך
עטים בצבעים שונים?","אתה יכול
להביא לי עטים בצבעים שונים?","יש לך
עטים בצבעים אחרים?"
180,0.43,"אה, לא, אבל נוכל לקנות לך הרבה בחנות --","אה, לא, אבל יש אפשרות להביא לך המון מהחנות --","אה, לא, אבל אנחנו יכולים להשיג לך המון בחנות --"
180,0.71,"אה, לא, אבל נוכל לקנות לך הרבה בחנות --","אה, לא, אבל יש אפשרות להביא לך הרבה מהחנות --","אה, לא, אבל אנחנו יכולים להשיג לך המון בחנות --"
180,0.18,"אה, לא, אבל נוכל לקנות לך הרבה בחנות --","אה, לא, אבל יש אפשרות להביא לך המון מהחנות --","אה, לא, אבל אנחנו יכולים להשיג לך המון בחנות --"
181,0.43,"מחברת סקיצות כמו שהייתה לך, כל מה שצריך.","דפי רישום כמו שאתה אוהב, כל הציוד.","דפי סקיצות כמו שהיו לך, הכל."
181,0.71,"פנקס סקצ'ים כמו שהיה לך, את הכול.","מחברת סקיצות כמו שאהבת, כל מה שצריך.","דפי סקיצות כמו שהיו לך, הכל."
181,0.18,"דפי רישום כמו שאתה רגיל, הכול.","מחברת סקיצות כמו שהייתה לך, כל מה שצריך.","דפי סקיצות כמו שהיו לך, הכל."
182,0.43,אוקיי.,בסדר.,סבבה.
182,0.71,אוקיי.,קיבלתי.,בסדר.
182,0.18,אוקיי.,טוב.,בסדר.
183,0.43,"היי, גברים.","היי, חבר'ה.","היי, כולם."
183,0.71,"היי, חבר'ה.","אהלן, חברים.","מה קורה, חבר'ה."
183,0.18,"היי, חבר'ה.","היי, כולם.","אהלן, חברים."
184,0.43,"נשמה, זו הרופאה שהזכרתי לך.","חמודה, זה הרופא שדיברתי איתך עליו.","מותק, זו הרופאה שסיפרתי לך עליה."
184,0.71,"נשמה, זאת הרופאה שסיפרתי לך עליה.","חמודה, זהו הרופא שדיברתי איתך עליו.","מותק, זה הרופא שסיפרתי לך עליו."
184,0.18,"חמודה, זה הרופא שדיברתי איתך עליו.","מותק, זו הרופאה שסיפרתי לך עליה.","נשמה, זאת הדוקטור שהזכרתי לך."
185,0.43,"שמחה להכיר.
אהלן.","נעים מאוד.
אוה, היי.","נעים להכיר.
אה, היי."
185,0.71,"שמחה להכיר.
אה, היי.","נעים מאוד.
אוה, היי שם.","נעים להכיר.
אה, היי."
185,0.18,"שמחה להכיר.
או, היי.","נעים מאוד.
אוה, היי.","נעים להכיר.
אה, היי."
186,0.43,"כולכן במטוס יחד, זו מופת.","שאתם כולם הייתם במטוס יחד, זה פלא.","כולכם במטוס יחד, זה נס."
186,0.71,"שכולכם הייתם באותו מטוס, זה מופלא.","כולכם ביחד במטוס, זה נס.","שאתם כולכם הייתם במטוס יחד, זה פלא."
186,0.18,"שאתם כולכם הייתם במטוס יחד, זה מופלא.","כולכם באותו מטוס, זה פלא.","כולכם במטוס יחד, זה נס."
187,0.43,"כן,
ככה ההורים שלי אומרים.","נכון,
זו גם דעת ההורים שלי.","כן,
זה מה שההורים שלי אומרים."
187,0.71,"כן,
ככה אומרים ההורים שלי.","נכון,
כך אמרו ההורים שלי.","אכן,
זה מה שההורים שלי אומרים."
187,0.18,"כן,
ככה אומרים ההורים שלי.","כן,
כך אומרים ההורים שלי.","כן,
זה מה שההורים שלי אומרים."
188,0.43,"הם מברכים
לפני כל ארוחה.","הם מתפללים
בכל ארוחה.","הם מעלים תפילה
בכל פעם שאוכלים."
188,0.71,הם מתפללים לפני כל ארוחה.,"הם מתפללים
בכל ארוחה.","הם מברכים
בכל פעם שאוכלים."
188,0.18,"הם מברכים
לפני כל ארוחה.","הם מתפללים
בכל פעם שאוכלים.","הם מתפללים
בכל ארוחה."
189,0.43,"אבל עכשיו, אני הולכת להתמקד
בבחור הזה.","אבל כרגע, אני מתכננת להקדיש
את כל תשומת ליבי לחבר הזה.","אבל בינתיים, אני מתכוונת להשקיע
את האנרגיה שלי בגבר הזה."
189,0.71,"אבל בינתיים, אני מתכננת להשקיע בבחור הזה.","אבל כרגע, אני הולכת להתמקד בבחור הזה.","אך כעת, אני מתכוונת להקדיש את האנרגיה שלי לגבר הזה."
189,0.18,"אבל כרגע, אני מתכננת להקדיש
את כל המרץ שלי לחבר הזה.","אבל עכשיו, אני הולכת להתמקד
בבחור הזה.","אבל ברגע זה, אני מתכוונת להשקיע
את כל האנרגיה שלי בגבר הזה."
190,0.43,"אתה בפנים
לעוד סיבוב, אח?
אין ספק.","מוכן
לעוד סיבוב, ידידי?
בטח.","אתה מוכן
לסיבוב שני, חבר?
כן."
190,0.71,"מוכן לעוד סיבוב, גבר?
בטח.","אתה מוכן
לסיבוב שני, חבר?
כן.","אתה בפנים
לסיבוב הבא, חבר?
אין ספק."
190,0.18,"אתה בפנים
לסיבוב נוסף, אח?
אין ספק.","מוכן
לעוד סיבוב, ידידי?
בטח.","אתה מוכן
לסיבוב שני, חבר?
כן."
191,0.43,"להתראות, חבר.
תתחיל.","נתראה, ידידי.
לך על זה.","שלום, גבר.
תעשה את זה."
191,0.71,"להתראות, דוד.
צאדק בהם.","נתראה, חבר.
תתקדם.","שלום, ידידי.
תעשה אותה."
191,0.18,"שלום, חבר.
תלך על זה.","להתראות, חבר.
תתפוס אותם.","נתראה, ידידי.
תעשה את זה."
192,0.43,"סאנווי:
שלום, אמא ואבא.","סאנווי:
ביי, אמא ואבא.","סאנווי:
להתראות, אמא ואבא."
192,0.71,"סאנווי:
יום טוב, אמא ואבא.","סאנווי:
להתראות, אמא ואבא.","סאנווי:
סליחה, אמא ואבא."
192,0.18,"סאנווי:
נתראה, אימא ואבא.","סאנווי:
ביי, אמא ואבא.","סאנווי:
להתראות, אמא ואבא."
193,0.43,צריך לטפל בזה?,צריך לענות על זה?,אתה צריך לקחת את זה?
193,0.71,צריך להגיב לזה?,צריך לענות על זה?,אתה צריך לקחת את זה?
193,0.18,צריך להגיב לזה?,צריך לענות על זה?,אתה צריך לקחת את זה?
194,0.43,"לא,
זו רק עניין של עבודה.","לא,
זה רק דבר של העבודה.","לא,
זה סתם משהו מהעבודה."
194,0.71,"לא,
זו רק עניין של עבודה.","לא,
זה רק דבר שקשור לעבודה.","לא,
זה רק סיפור מהעבודה."
194,0.18,"לא,
זו רק עניין של עבודה.","לא,
זה רק דבר של העבודה.","לא,
זה סתם משהו מהעבודה."
195,0.71,"אני מספקת את האירוח למסיבת המשרד,","אני אוכלת לספק את המסיבה במשרד,","אני דואגת לקייטרינג של מסיבת המשרד,"
195,0.18,"אני מספקת אוכל למסיבת המשרד הזו,","אני אחראית על הקייטרינג במסיבת המשרד,","אני מסדרת את הקייטרינג למסיבת המשרד,"
195,0.43,"אני מספקת אוכל למסיבת המשרד הזו,","אני אחראית על הקייטרינג במסיבת המשרד,","אני מסדרת את הקייטרינג למסיבת המשרד,"
196,0.71,והלקוחה תמיד מתעניינת מה המצב.,והלקוח תמיד נכנס לבדוק.,והלקוח כל הזמן בודק מה קורה.
196,0.18,והלקוחה תמיד מתעדכנת.,והלקוח תמיד בודק מה קורה.,והלקוח כל הזמן מציץ לראות מה המצב.
196,0.43,והלקוחה תמיד מתעדכנת.,והלקוח תמיד בודק מה קורה.,והלקוח כל הזמן מציץ לראות מה המצב.
197,0.71,כמובן. אני כל הזמן שוכח.,"ברור, שוכח אני כל הזמן.","כמובן, תמיד שוכח אני."
197,0.18,כמובן. אני כל הזמן שוכח.,"כן, אני ממשיך לשכוח.","ברור, אני תמיד שוכח את זה."
197,0.43,"כן, כל הזמן זה יוצא לי מהראש.","ברור, תמיד שוכח את זה.",כמובן. כל הזמן שוכח.
198,0.71,"האישה שלי, יזמית במהותה.","אישתי, החלוצה.","אשתי, היזמית."
198,0.18,"אשתי, היזמית הגדולה.","האישה שלי, יזמית אמיתית.","אשתי, היזמית."
198,0.43,"האישה שלי, יזמית במהותה.","אישתי, היזמית.","אשתי, היזמית."
199,0.71,"נו, אז.","אוו, טוב.","אה, ובכן."
199,0.18,"אה, טוב.","אה, נו.","אה, ובכן."
199,0.43,"אה, נו.","אוקיי, ובכן.","אה, ובכן."
200,0.71,"ראה, אתה ודאי יש לך הרבה על הראש,","תראה, בוודאי יש לך מלא דברים לטפל בהם,","תסתכל, אתה בטח צריך לדאוג להמון דברים,"
200,0.18,"ראה, אני בטוח שיש לך המון מה לעשות,","תסתכל, אני בטוח שיש לך מלא על הראש,","תראה, בטח יש לך המון דברים לטפל בהם,"
200,0.43,"ראה, בוודאי יש לך המון על הראש,","תראה, אתה בטח צריך לדאוג להמון דברים,","תראי, את בטח צריכה לדאוג להמון דברים,"
201,0.71,"אז למה שלא אלך לטייל? לא, לא, לא.","אז אולי אסתובב קצת? לא, לא, לא.","אז יאללה, אני הולך להסתובב. לא, לא."
201,0.18,"אז אולי אצא לטיול? לא, לא, לא.","אז למה אני לא אלך לטייל? לא, לא, לא.","אז איך אם אני פשוט אצא החוצה? לא, לא, לא."
201,0.43,"אז למה אני לא אצא לטייל? לא, לא, לא.","אולי אני פשוט אצא החוצה? לא, לא, לא.","אז אולי אצא לטיול קצר? לא, לא, לא."
202,0.71,"אין צורך -- אני אטפל בכמה שיחות על מציאת עבודה,","לא צריך -- אני אשתדל להתקשר לכמה עבודות,","אתה לא -- אני יכול לעשות כמה שיחות לחיפוש עבודה,"
202,0.18,"אתה לא צריך -- אני יכול לעשות כמה שיחות לחיפוש עבודה,","אין צורך -- אני יכול לבצע כמה שיחות על מציאת עבודה,","אין צורך -- אני אטפל בכמה שיחות למציאת עבודה,"
202,0.43,"את לא -- אני יכולה לבצע כמה שיחות למציאת עבודה,","אין צורך -- אני אוכל להתקשר לכמה מקומות עבודה,","אתה לא -- אני יכול לעשות כמה שיחות חיפוש עבודה,"
203,0.71,ואחר כך נתראה בחזרה בבית.,וניפגש אחר כך בבית.,ואז נפגש בבית מאוחר יותר.
203,0.18,ואז נתראה בבית.,ואחר כך ניפגש בבית.,וניפגש אחר כך בבית.
203,0.43,ואז ניפגש מאוחר יותר בבית.,וניפגש אחר כך בבית.,ואחר כך נתראה בבית.
204,0.71,אני אקח את המשמרת של מחר.,אני אעבוד במשמרת של מחר.,אני אתפוס את משמרת המחר.
204,0.18,אני אקח את המשמרת של מחר.,אני אעבוד במשמרת של מחר.,אני אתפוס את המשמרת של מחר.
204,0.43,אני אקח את המשמרת של מחר.,אני אעבוד במשמרת של מחר.,אני אתפוס את המשמרת של מחר.
205,0.71,אני אחזור אליך מאוחר יותר.,אני אתקשר אליך מאוחר יותר.,אתקשר אליך אחר כך.
205,0.18,אני אחזור אליך מאוחר יותר.,אני אתקשר אליך מאוחר יותר.,אני אצלצל אליך אחר כך.
205,0.43,אחזור אליך מאוחר יותר.,אני אתקשר אליך מאוחר יותר.,אתקשר אליך אחר כך.
207,0.71,את שומעת את זה? שומעת מה?,את שומעה את זה? מה את שומעת?,את שומעת מה זה? שומעת מה?
207,0.18,את שומעת את זה? שומעת מה?,את שומעת? מה את שומעת?,את מזהה את זה? מה את שומעת?
207,0.43,אתה שומע את זה? שומע מה?,את שומעת את זה? שומעת מה?,אתם שומעים את זה? שומעים מה?
210,0.18,אתה.,את.,אותך.
210,0.71,אתה.,את.,אותך.
210,0.43,אתה.,את.,אותך.
211,0.18,אותה מנגינה.,הלחן הזה.,המנגינה הזו.
211,0.71,המוזיקה הזו.,הלחן הזה.,המנגינה הזו.
211,0.43,המוזיקה הזו.,הלחן הזה.,המנגינה הזו.
212,0.18,"זה מצלצל לי בראש
כל היום.","זה מתנגן לי בראש
מאז הבוקר.","זה נוקש בראש שלי
כל היום."
212,0.71,"שמהדהדת לי בראש
כל היום.","שלא מפסיקה להדהד לי בראש
כל היום.","שנועץ לי בראש
כל היום."
212,0.43,"שמתקתקת לי בראש
כל היום.","שנתקעה לי בראש
כל היום.","שלא מפסיקה להדהד לי בראש
כל היום."
213,0.18,"אני זקוק לעזרה.
אנא.","אני מבקש עזרה.
תעזור לי.","אני צריך עזרה.
בבקשה."
213,0.71,"אני זקוק לעזרה.
תעזור לי.","אני צריך עזרה.
אנא.","אני צריך עזרה.
בבקשה."
213,0.43,"אני זקוק לעזרה.
תעזור לי.","אני צריך עזרה.
בבקשה.","אני מבקש עזרה.
אנא."
214,0.18,אנא.,בבקשה.,תעזור לי.
214,0.71,אנא.,בבקשה.,תעזור לי.
214,0.43,אנא.,בבקשה.,תעזור לי.
215,0.18,"בהתחלה הייתה התרסקות המטוס,
אז החזיון.","לפני הכל, המטוס
ואז הוויזיה.","תחילה זה היה המטוס,
החזון."
215,0.71,"בהתחלה המטוס,
אחר כך החזיון.","ראשית הייתה התאונה,
אז החזיון.","תחילה זה היה המטוס,
החזון."
215,0.43,"תחילה הייתה המטוס,
החזיון.","לפני הכל, המטוס
והתגלית.","ראשית, המטוס
והחזיון."
216,0.18,"אז הבוקר, המוזיקה
הכותתת נגד עצמות האוזניים שלי.","ואז היום בבוקר, המוזיקה
המקוששת בתוך האוזניים שלי.","אחר כך הבוקר, המנגינה
שהכתה באוזני."
216,0.71,"ואז היום, המוזיקה
מתנגנת לי בראש.","אז הבוקר, המוזיקה
מכה בתוף האוזן שלי.","היום בבוקר, המוזיקה
הפכה לתופפת באוזניי."
216,0.43,"אחר כך הבוקר, המוזיקה
שהיכתה באוזניי.","ואז הבוקר, המוזיקה
שהכתה בתופי אוזניי.","ואז היום בבוקר, המוזיקה
שהתנגנה בחוזקה באוזניי."
217,0.18,"לא שמעת קולות?
יש לך הזיות קוליות?","אין קולות?
אתה שומע קולות?","שום קולות?
יש לך האוזניים קולות?"
217,0.71,"לא שומע קולות?
יש קולות שאתה שומע?","אין קולות?
אתה שומע קולות?","בלי קולות?
יש קולות שנשמעים לך?"
217,0.43,"אף קול?
אתה שומע קולות?","אין קולות?
אתה שומע קולות?","לא שומע קולות?
יש לך קולות בראש?"
218,0.18,"האמת, לא בטוח
מה בדיוק אני שומע -- או למה.","אה, אני לא בטוח
מה אני שומע -- או למה.","אממ, אני לא יודע
מה אני שומע -- או מדוע."
218,0.71,"אה, אני לא בטוח
מה אני שומע -- או למה.","אוי, לא ברור לי
מה אני שומע -- או למה.","אהמ, לא בטוח
מה אני שומע -- או מדוע."
218,0.43,"אה, אני לא יודע
מה אני שומע -- או מדוע.","אה, אני לא בטוח
מה אני שומע -- או למה.","אה, אני לא בטוח
מה בדיוק אני שומע -- או מה הסיבה."
219,0.18,"לדעתי,
המוזיקה זו כוח גבוה יותר.","בשבילי,
המוזיקה היא כוח אלוהי.","עבורי,
המוזיקה היא כוח עליון."
219,0.71,"לי,
המוזיקה היא כוח עליון.","עבורי,
המוזיקה היא כוח עליון.","בשבילי,
המוזיקה היא עוצמה עליונה."
219,0.43,"בעיני,
המוזיקה היא כוח עליון.","עבורי,
המוזיקה היא כוח עליון.","לדעתי,
המוזיקה היא כוח גבוה יותר."
220,0.18,"אז המוזיקה הזו שאנחנו שומעים,
אתה ואני יחד,","כך שהמוזיקה שאנחנו מאזינים לה,
אתה ואני יחד,","ואז, המוזיקה שאנו שומעים,
אני ואתה ביחד,"
220,0.71,"אז המוזיקה שאנחנו שומעים,
אתה ואני יחד,","אז המנגינה הזו שאנו שומעים,
אנחנו יחד,","אז המוזיקה שמתנגנת לנו,
לנו שנינו יחד,"
220,0.43,"אז המוזיקה שאנחנו שומעים,
אתה ואני יחד,","אז המוזיקה שאנו מקשיבים לה,
אנחנו ביחד,","אז המוזיקה שמתנגנת לנו,
לנו שנינו יחד,"
221,0.18,יש לזה סיבה.,זה בגלל סיבה מסוימת.,זה מסיבה.
221,0.71,יש לזה סיבה.,זה בגלל סיבה.,זה מסיבה מסוימת.
221,0.43,יש לזה סיבה.,זה בשביל משהו.,זה מסיבה מסוימת.
222,0.18,"והסיבה הזו
חייבת להיות הבן שלי.","והסיבה הזאת
היא בוודאי הבן שלי.","והסיבה,
היא חייבת להיות הבן שלי."
222,0.71,"והסיבה
היא בוודאי הבן שלי.","והסיבה הזו
חייבת להיות הבן שלי.","והסיבה הזו
מוכרחה להיות הילד שלי."
222,0.43,"והסיבה הזו
חייבת להיות הבן שלי.","והסיבה הזו
בוודאי היא הבן שלי.","והסיבה הזו
מוכרחה להיות הילד שלי."
223,0.18,"הוא זה
שצריך עזרה.","הוא האחד
שזקוק לעזרה.","זה הוא
שצריך את העזרה."
223,0.71,"הוא זה
שצריך עזרה.","הוא הוא
שזקוק לעזרה.","הוא האחד
שצריך את העזרה."
223,0.43,"הוא זה
שצריך את העזרה.","הוא הוא
שצריך את הסיוע.","הוא האחד
שזקוק לעזרה."
224,0.18,"הייתי בג'מייקה איתך
להופעה עם הפילהרמונית.","אני הייתי שם איתך בג'מייקה
כדי לנגן בפילהרמונית.","הייתי איתך בג'מייקה
לנגן עם הפילהרמונית."
224,0.71,"הייתי איתך בג'מייקה
כדי לנגן עם הפילהרמונית.","הייתי שם איתך בג'מייקה
לנגן בפילהרמונית.","ביליתי איתך בג'מייקה
לשם נגינה עם הפילהרמונית."
224,0.43,"אני הייתי איתך בג'מייקה
כדי לנגן עם הפילהרמונית.","הייתי שם איתך בג'מייקה
לשים עם הפילהרמונית.","הייתי איתך בג'מייקה
לנגן עם הפילהרמונית."
225,0.71,בלילה אחד.,לילה אחד.,רק לילה אחד.
225,0.43,פשוט לילה אחד.,לילה אחד.,לילה אחד בלבד.
225,0.18,בלילה אחד.,לילה אחד.,רק לילה אחד.
226,0.71,"ואני השארתי ילד בן שלוש עשרה אצל השכן,","נשאר ילד בן 13 אצל השכן,","אבל השארתי ילד בן 13 אצל השכן,"
226,0.43,"אבל נתתי את הילד, בן השלוש עשרה, לשכנה,","אך השארתי ילד בן שלוש עשרה אצל השכנה,","אבל השארתי ילד בן 13 אצל השכנה,"
226,0.18,"והשארתי ילד בן שלוש עשרה אצל השכנה,","אך השארתי ילד בן שלוש עשרה אצל השכנה,","אבל השארתי ילד בן 13 אצל השכנה,"
227,0.71,והגעתי אל מתבגר בן 18 --,ומצאתי נער בן שמונה עשרה --,וחזרתי למתבגר בן 18 --
227,0.43,וחזרתי לבן 18 --,ומצאתי בן שמונה עשרה --,וחזרתי לנער בן שמונה עשרה --
227,0.18,וחזרתי לנער בן 18 --,ומצאתי נער בן שמונה עשרה --,ונתקלתי בנער בן שמונה עשרה --
228,0.71,אדם שכעת נמצא מאחורי סורגים.,אדם שהיום מאחורי הסורגים.,אדם שעכשיו בכלא.
228,0.43,נער שעכשיו בכלא.,בן שכעת מאחורי סורגים.,בן שעכשיו נמצא במאסר.
228,0.18,נער שעכשיו בכלא.,נער שכעת מאחורי סורגים.,"נער, שהיום נמצא מאחורי הסורגים."
229,0.71,"אופס, סליחה.","אוף, אני מצטער.",אני מצטער.
229,0.43,"אה, אני מצטער.","אוי, כמה מצטער אני.","אה, זה ממש מצער."
229,0.18,"אה, אני מצטער.","אוף, אני מצטער.","אוי, מצטער."
230,0.71,מה קרה?,מה היה?,מה קרה בדיוק?
230,0.43,מה אירע?,מה קרה?,מה היה?
230,0.18,מה התרחש?,מה קרה?,מה עבר עליך?
231,0.71,השוטרים אמרו שהיה זה שוד.,המשטרה אומרת שזה היה שוד.,"לפי המשטרה, מדובר בשוד."
231,0.43,השוטרים אומרים שהיה זה שוד.,המשטרה אומרת שזה היה שוד.,"לפי המשטרה, זה היה שוד."
231,0.18,"לפי המשטרה, היה זה שוד.",השוטרים אומרים שהיה זה שוד.,המשטרה אומרת שזה היה שוד.
232,0.71,"אבל זה לא יתכן, אתה מבין,
אדיו הוא ילד טוב.","אבל אי אפשר, נכון,
כי אדיו ילד טוב.","אבל זה בלתי אפשרי, יודע,
כי אדיו ילד טוב."
232,0.43,"אבל זה מופרך, כי אדיו הוא ילד טוב.","אבל זה בלתי אפשרי, אתה יודע, כי אדיו ילד טוב.","אבל זה פשוט לא יכול להיות, אדיו ילד טוב."
232,0.18,"אבל זה לא יכול להיות, כי אדיו הוא ילד טוב.","אבל זה פשוט לא אפשרי, אדיו ילד טוב.","אבל זה בלתי אפשרי, אתה יודע, כי אדיו ילד טוב."
233,0.71,"אילו יכולתי רק
לדבר איתו,","אם הייתי יכול
רק לדבר איתו,","לו הייתי יכול
לשוחח איתו,"
233,0.43,"אילו הייתי יכול רק לדבר איתו,","אם הייתי יכול לדבר איתו,","אם רק הייתי יכול לשוחח איתו,"
233,0.18,"אילו הייתי יכול רק לדבר איתו,","אם רק היה לי הזדמנות לדבר איתו,","אם רק הייתי יכול לשוחח איתו,"
234,0.71,"הייתי מוצא הסבר,
אני יודע את זה.","הייתה לי הסברה,
אני יודע זאת.","הייתה מצויה הסבר,
אני בטוח בזה."
234,0.43,"הייתה מצוינת הסברה, אני בטוח בזה.","הייתה לי הסברה, אני יודע את זה.","הייתה כאן הסברה, אני יודע."
234,0.18,"הייתה מצויה הסברה, אני יודע את זה.","הייתה נמצאת הסברה, אני בטוח בזה.","הייתי מוצא הסבר, אני יודע את זה."
235,0.71,נראה שמה שאתה צריך זה עורך דין.,נשמע שאתה צריך עורך דין.,נראה שאתה זקוק לעורך דין.
235,0.43,נשמע כאילו אתה זקוק לעורך דין.,נראה שאתה צריך עורך דין.,כנראה שאתה בצורך בעורך דין.
235,0.18,כנראה שאתה צריך עורך דין.,נשמע שאתה צריך עורך דין.,נראה שאתה זקוק לעורך דין.
236,0.71,אני צריך לראות את בני.,אני צריך להיות עם בני.,אני חייב לפגוש את בני.
236,0.43,אני צריך לראות את בני.,אני צריך לפגוש את הבן שלי.,אני חייב לראות את הבן שלי.
236,0.18,אני צריך לראות את בני.,אני חייב לראות את בני.,אני מוכרח לראות את בני.
237,0.71,"מהכלא נמסר
שאני צריך להופיע ברשימה,","הכלא אמר
שאני צריך להיות ברשימה,","בכלא אמרו
שאני צריך להיכלל ברשימה,"
237,0.43,"הם אמרו בכלא שאני צריך להיות ברשימת המבקרים,","בכלא אמרו שאני צריך להירשם על רשימה,","הכלא אמר שאני צריך להיות ברשימה,"
237,0.18,"בכלא אמרו שאני צריך להירשם על רשימה,","הם בכלא אמרו שאני צריך להיכנס לרשימה,","הכלא אמר שאני צריך להיות ברשימה,"
238,0.71,"אבל כתושב זר,
הוויזה שלי פגה.","אך אני תושב זר
והוויזה שלי אינה בתוקף.","אבל אני תושב זר
והוויזה שלי פג תוקף."
238,0.43,אך אני תושב זר והוויזה שלי פג תוקפה.,אבל אני תושב זר והוויזה שלי לא בתוקף.,אבל אני תושב זר והוויזה שלי פגה.
238,0.18,אך אני תושב זר והוויזה שלי פג תוקפה.,אבל אני תושב זר והוויזה שלי לא בתוקף.,אבל אני תושב זר והוויזה שלי פגה.
239,0.71,"אמרו
שיכול לעבור חודש,","הם אומרים
שזה יכול לקחת חודש,","הם טוענים
שזה עשוי לדרוש חודש,"
239,0.43,"הם אומרים שזה יכול לקחת חודש,","הם אמרו שזה עשוי להימשך עד חודש,","אמרו שזה יכול להימשך חודש,"
239,0.18,"הם אומרים שזה יכול לקחת חודש,","אמרו שזה יכול להימשך עד חודש,","אומרים שזה עשוי להימשך חודש,"
240,0.43,"אבל לאדיו אין הרבה זמן, את יודעת?","אבל לאדיו אין המון זמן, תבין?","אבל לאדיו אין הרבה זמן, אתה יודע?"
240,0.71,"אבל לאדיו אין הרבה זמן, את יודעת?","אבל לאדיו אין הרבה זמן, אתה יודע?","אבל לאדיו אין המון זמן, נכון?"
240,0.18,"אבל לאדיו אין הרבה זמן, את יודעת?","אבל לאדיו אין הרבה זמן, נכון?","אבל לאדיו אין הרבה זמן, אתה יודע?"
241,0.43,המשפט שלו השבוע הבא.,הוא עומד להישפט השבוע הבא.,משפטו יתקיים השבוע הבא.
241,0.71,"המשפט שלו כבר מתקרב, בשבוע הבא.",משפטו כבר בשבוע הקרוב.,המשפט שלו בשבוע הבא.
241,0.18,הוא עומד להישפט בשבוע הבא.,המשפט שלו כבר בשבוע הבא.,המשפט שלו בשבוע הבא.
242,0.43,"בבקשה, בבקשה.","תחנן, תחנן.","אנא, אנא."
242,0.71,"בבקשה, בבקשה.","תחנן, תחנן.","אנא, אנא."
242,0.18,"בבקשה, בבקשה.","תחנן, תחנן.","אנא, אנא."
243,0.43,את מכירה את המשטרה.,אתה מכיר את המשטרה.,אתה יודע איך המשטרה.
243,0.71,את מכירה את המשטרה.,אתה מכיר את המשטרה.,אתה יודע איך המשטרה.
243,0.18,את מכירה את המשטרה.,אתה מכיר את המשטרה.,אתם מכירים את המשטרה.
244,0.43,"אתה הורה, נכון?","אתה אבא, נכון?","אתה אב, נכון?"
244,0.71,"אתה אבא, נכון?","יש לך ילדים, נכון?","את אמא, נכון?"
244,0.18,"יש לך ילדים, נכון?","אתה אבא, נכון?","את אבא, נכון?"
245,0.43,יש לי בן ובת.,בן ובת.,ילד וילדה.
245,0.71,יש לי בן ובת.,בן ובת.,ילד וילדה.
245,0.18,בן ובת.,לי יש בן ובת.,ילד וילדה.
246,0.43,אדיו כבר חמש שנים ללא הורה.,אדיו כבר חמש שנים בלי אבא.,אדיו כבר חמש שנים בלי אב.
246,0.71,לאדיו כבר חמש שנים אין אב.,אדיו כבר חמש שנים בלי אבא.,אדיו כבר חמש שנים בלי אב.
246,0.18,חמש שנים שאדיו בלי אב.,אדיו כבר חמש שנים בלי אבא.,אדיו כבר חמש שנים ללא אב.
247,0.43,אתה יכול לדמיין שאתה לא מסוגל להציל את הילד שלך?,אתה יכול לדמיין שאי אפשר להציל את הילד שלך?,אתה יכול לדמיין שאין ביכולתך להציל את הילד שלך?
